,coin_pair,swap_pair,date_added,price_defference,dex_1,dex_2,dex_3,dex_4,dex_5,dex_6
0,DAI-USDT,SushiSwap-Kyber,"10/01/2021, 16:19:19",0.0022,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
1,DAI-USDT,SushiSwap-Curve,"10/01/2021, 16:19:19",0.0040,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
2,DAI-USDT,SushiSwap-UniSwap,"10/01/2021, 16:19:19",0.0071,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
3,DAI-USDT,SushiSwap-DDex,"10/01/2021, 16:19:19",0.0071,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
4,DAI-USDT,SushiSwap-OneSplit,"10/01/2021, 16:19:19",0.0072,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
5,DAI-USDT,Kyber-Curve,"10/01/2021, 16:19:19",0.0018,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
6,DAI-USDT,Kyber-UniSwap,"10/01/2021, 16:19:19",0.0049,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
7,DAI-USDT,Kyber-DDex,"10/01/2021, 16:19:19",0.0049,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
8,DAI-USDT,Kyber-OneSplit,"10/01/2021, 16:19:19",0.0050,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
9,DAI-USDT,Curve-UniSwap,"10/01/2021, 16:19:19",0.0031,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
10,DAI-USDT,Curve-DDex,"10/01/2021, 16:19:19",0.0031,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
11,DAI-USDT,Curve-OneSplit,"10/01/2021, 16:19:19",0.0032,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
12,DAI-USDT,UniSwap-DDex,"10/01/2021, 16:19:19",0.0000,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
13,DAI-USDT,UniSwap-OneSplit,"10/01/2021, 16:19:19",0.0001,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
14,DAI-USDT,DDex-OneSplit,"10/01/2021, 16:19:19",0.0001,SushiSwap(0.9926),Kyber(0.9948),Curve(0.9966),UniSwap(0.9997),DDex(0.9997),OneSplit(0.9998)
15,USDC-USDT,Kyber-Curve,"10/01/2021, 16:19:19",0.0026,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
16,USDC-USDT,Kyber-SushiSwap,"10/01/2021, 16:19:19",0.0029,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
17,USDC-USDT,Kyber-UniSwap,"10/01/2021, 16:19:19",0.0044,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
18,USDC-USDT,Kyber-DDex,"10/01/2021, 16:19:19",0.0044,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
19,USDC-USDT,Kyber-OneSplit,"10/01/2021, 16:19:19",0.0059,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
20,USDC-USDT,Curve-SushiSwap,"10/01/2021, 16:19:19",0.0003,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
21,USDC-USDT,Curve-UniSwap,"10/01/2021, 16:19:19",0.0018,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
22,USDC-USDT,Curve-DDex,"10/01/2021, 16:19:19",0.0018,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
23,USDC-USDT,Curve-OneSplit,"10/01/2021, 16:19:19",0.0033,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
24,USDC-USDT,SushiSwap-UniSwap,"10/01/2021, 16:19:19",0.0015,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
25,USDC-USDT,SushiSwap-DDex,"10/01/2021, 16:19:19",0.0015,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
26,USDC-USDT,SushiSwap-OneSplit,"10/01/2021, 16:19:19",0.0030,Kyber(0.9936),Curve(0.9962),SushiSwap(0.9965),UniSwap(0.998),DDex(0.998),OneSplit(0.9995)
